"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.113290900E-2,6.500814680E1,2.546770010E1,1.033495499E1,NaN,NaN,1.372399998E1,1.728203893E0
1.495864616E0,6.500814680E1,2.546770010E1,1.033495499E1,NaN,NaN,2.369200134E1,3.721803904E0
3.226132909E0,6.500783667E1,2.546802833E1,1.753509405E1,0.000000000E0,0.000000000E0,1.566999969E2,1.626999969E2
4.226132909E0,6.500791333E1,2.546789667E1,1.413505603E1,0.000000000E0,0.000000000E0,8.199999809E0,1.124000015E2
5.739132909E0,6.500797500E1,2.546771833E1,2.773502061E1,7.499502897E-1,2.089199982E2,5.900000095E0,5.940000153E1
6.739132909E0,6.500804167E1,2.546761167E1,3.193498804E1,1.114373565E0,2.118300018E2,4.800000191E0,5.020000076E1
7.739132909E0,6.500811167E1,2.546763000E1,2.933496256E1,5.734005570E-1,2.288500061E2,4.300000191E0,4.609999847E1
8.739132909E0,6.500810833E1,2.546750333E1,2.293495535E1,1.178713888E-1,2.425599976E2,3.200000048E0,3.659999847E1
9.739132909E0,6.500812000E1,2.546746500E1,2.283494834E1,7.386263609E-1,2.039900055E2,2.799999952E0,3.609999847E1
1.073913291E1,6.500812500E1,2.546746000E1,2.293494609E1,8.956166506E-1,1.933899994E2,2.599999905E0,3.620000076E1
1.173913291E1,6.500813167E1,2.546746667E1,2.333494399E1,7.561269403E-1,2.129700012E2,2.500000000E0,3.709999847E1
1.273913291E1,6.500813667E1,2.546745000E1,2.443494097E1,3.618497252E-1,2.219299927E2,2.400000095E0,3.609999847E1
1.373913291E1,6.500814333E1,2.546744167E1,2.463493787E1,3.479522169E-1,3.331199951E2,2.299999952E0,3.709999847E1
1.473913291E1,6.500815167E1,2.546742667E1,2.463493368E1,2.460372150E-1,3.423999939E2,2.200000048E0,3.690000153E1
1.573913291E1,6.500815333E1,2.546742667E1,2.383493304E1,9.815752506E-1,3.267099915E2,2.200000048E0,3.809999847E1
1.673913291E1,6.500816167E1,2.546739000E1,2.343492741E1,1.310482740E0,3.261199951E2,2.099999905E0,3.520000076E1
1.773913291E1,6.500816833E1,2.546735500E1,2.303492252E1,1.533872247E0,3.030499878E2,2.000000000E0,3.329999924E1
1.873913291E1,6.500817500E1,2.546731333E1,2.253491718E1,1.203935266E0,3.087300110E2,2.000000000E0,3.229999924E1
1.973913291E1,6.500818167E1,2.546729333E1,2.163491330E1,9.681925178E-1,3.059299927E2,2.000000000E0,3.129999924E1
2.073913291E1,6.500818833E1,2.546727833E1,2.083490975E1,7.916427851E-1,2.870700073E2,2.000000000E0,3.060000038E1
2.173913291E1,6.500819333E1,2.546725667E1,2.003490639E1,8.945872188E-1,2.889500122E2,2.000000000E0,2.829999924E1
2.273913291E1,6.500819667E1,2.546723333E1,1.943490355E1,1.294526339E0,2.794800110E2,1.899999976E0,2.870000076E1
2.373913291E1,6.500819667E1,2.546721500E1,1.883490232E1,1.001134753E0,2.620400085E2,1.899999976E0,2.550000000E1
2.473913291E1,6.500820333E1,2.546720000E1,1.783489877E1,1.079372525E0,3.111799927E2,1.899999976E0,2.529999924E1
2.573913291E1,6.500820667E1,2.546719333E1,1.653489705E1,1.100476146E0,3.100100098E2,1.899999976E0,2.229999924E1
2.673913291E1,6.500821333E1,2.546717167E1,1.573489306E1,1.092240572E0,3.302500000E2,1.799999952E0,2.189999962E1
2.773913291E1,6.500822167E1,2.546715333E1,1.503488864E1,1.050548077E0,3.084500122E2,1.899999976E0,2.229999924E1
2.873913291E1,6.500822833E1,2.546712667E1,1.473488431E1,1.046430230E0,2.907300110E2,1.899999976E0,3.079999924E1
2.973913291E1,6.500823167E1,2.546709000E1,1.453488058E1,1.053121686E0,3.079400024E2,1.899999976E0,2.629999924E1
3.073913291E1,6.500824000E1,2.546706667E1,1.383487583E1,1.061871886E0,3.087900085E2,1.899999976E0,2.579999924E1
3.199993629E1,6.500829490E1,2.546649950E1,1.023481758E1,NaN,NaN,1.833799934E1,1.000000000E0
3.608793629E1,6.500827333E1,2.546676667E1,1.363484298E1,0.000000000E0,0.000000000E0,3.299999952E0,5.179999924E1
3.708793629E1,6.500826000E1,2.546699000E1,1.363486305E1,0.000000000E0,0.000000000E0,4.099999905E0,5.379999924E1
3.901093629E1,6.500828000E1,2.546671833E1,1.353483719E1,0.000000000E0,0.000000000E0,4.099999905E0,5.740000153E1
4.001093629E1,6.500828333E1,2.546670000E1,1.363483469E1,6.078869700E-1,1.480000019E0,4.099999905E0,6.250000000E1
4.101093629E1,6.500829833E1,2.546687500E1,1.353484069E1,8.745130301E-1,3.092200012E2,4.000000000E0,6.769999695E1
4.201093629E1,6.500833833E1,2.546681667E1,1.353482149E1,1.065474987E0,3.335899963E2,3.900000095E0,6.940000153E1
4.301093629E1,6.500836667E1,2.546678500E1,1.343480853E1,8.889252543E-1,3.496700134E2,3.799999952E0,7.130000305E1
4.401093629E1,6.500838167E1,2.546676500E1,1.333480145E1,8.492916822E-1,2.049999952E0,3.799999952E0,7.509999847E1
4.501093629E1,6.500841167E1,2.546670667E1,1.323478607E1,1.224524140E0,3.397999878E2,3.599999905E0,7.519999695E1
4.601093629E1,6.500841667E1,2.546663833E1,1.323477956E1,1.020694137E0,3.360199890E2,3.599999905E0,5.950000000E1
4.701093629E1,6.500843167E1,2.546659000E1,1.333477058E1,7.623035908E-1,3.465299988E2,3.400000095E0,5.759999847E1
4.801093629E1,6.500843833E1,2.546655833E1,1.343476590E1,6.356819272E-1,3.539999962E0,3.400000095E0,6.029999924E1
4.901093629E1,6.500844667E1,2.546653500E1,1.353476115E1,5.718563795E-1,3.548299866E2,3.400000095E0,6.259999847E1
5.001093629E1,6.500845167E1,2.546649833E1,1.363475677E1,5.739153028E-1,3.307300110E2,3.400000095E0,3.670000076E1
5.101093629E1,6.500846000E1,2.546644833E1,1.373475022E1,8.359088898E-1,3.152000122E2,3.400000095E0,3.479999924E1
5.201093629E1,6.500848667E1,2.546644167E1,1.373473957E1,6.176666617E-1,3.502699890E2,3.400000095E0,3.440000153E1
5.301093629E1,6.500849000E1,2.546642333E1,1.383473706E1,6.279610991E-1,2.971000061E2,3.400000095E0,3.529999924E1
